"region";"ålder";"kön";"2023"
"Upplands Väsby (Bollstanäs)";"totalt";"män";3003
"Upplands Väsby (Bollstanäs)";"totalt";"kvinnor";2917
"Upplands Väsby (Bollstanäs)";"totalt";"totalt";5920
"Upplands Väsby (Hammarby-Vaxmyra)";"totalt";"män";1500
"Upplands Väsby (Hammarby-Vaxmyra)";"totalt";"kvinnor";1384
"Upplands Väsby (Hammarby-Vaxmyra)";"totalt";"totalt";2884
"Upplands Väsby (Odenslunda norra-Frestaby-Ekeby)";"totalt";"män";2581
"Upplands Väsby (Odenslunda norra-Frestaby-Ekeby)";"totalt";"kvinnor";2531
"Upplands Väsby (Odenslunda norra-Frestaby-Ekeby)";"totalt";"totalt";5112
"Upplands Väsby (Odenslunda södra-Bredden)";"totalt";"män";1694
"Upplands Väsby (Odenslunda södra-Bredden)";"totalt";"kvinnor";1572
"Upplands Väsby (Odenslunda södra-Bredden)";"totalt";"totalt";3266
"Upplands Väsby (Runby norra)";"totalt";"män";993
"Upplands Väsby (Runby norra)";"totalt";"kvinnor";929
"Upplands Väsby (Runby norra)";"totalt";"totalt";1922
"Upplands Väsby (Runby södra-Ed)";"totalt";"män";2800
"Upplands Väsby (Runby södra-Ed)";"totalt";"kvinnor";2743
"Upplands Väsby (Runby södra-Ed)";"totalt";"totalt";5543
"Upplands Väsby (Skälby-Brunnby Vik)";"totalt";"män";1841
"Upplands Väsby (Skälby-Brunnby Vik)";"totalt";"kvinnor";1809
"Upplands Väsby (Skälby-Brunnby Vik)";"totalt";"totalt";3650
"Upplands Väsby (Smedby södra-Älvsunda)";"totalt";"män";1168
"Upplands Väsby (Smedby södra-Älvsunda)";"totalt";"kvinnor";1196
"Upplands Väsby (Smedby södra-Älvsunda)";"totalt";"totalt";2364
"Upplands Väsby (Upplands Väsby centrum-Smedby norra)";"totalt";"män";2907
"Upplands Väsby (Upplands Väsby centrum-Smedby norra)";"totalt";"kvinnor";2904
"Upplands Väsby (Upplands Väsby centrum-Smedby norra)";"totalt";"totalt";5811
"Upplands Väsby (Upplands Väsby omland)";"totalt";"män";452
"Upplands Väsby (Upplands Väsby omland)";"totalt";"kvinnor";446
"Upplands Väsby (Upplands Väsby omland)";"totalt";"totalt";898
"Upplands Väsby (Vilunda västra)";"totalt";"män";2643
"Upplands Väsby (Vilunda västra)";"totalt";"kvinnor";2637
"Upplands Väsby (Vilunda västra)";"totalt";"totalt";5280
"Upplands Väsby (Vilunda östra)";"totalt";"män";3746
"Upplands Väsby (Vilunda östra)";"totalt";"kvinnor";3714
"Upplands Väsby (Vilunda östra)";"totalt";"totalt";7460
"Vallentuna (Karby-Brottby)";"totalt";"män";589
"Vallentuna (Karby-Brottby)";"totalt";"kvinnor";567
"Vallentuna (Karby-Brottby)";"totalt";"totalt";1156
"Vallentuna (Lindholmen)";"totalt";"män";712
"Vallentuna (Lindholmen)";"totalt";"kvinnor";706
"Vallentuna (Lindholmen)";"totalt";"totalt";1418
"Vallentuna (Vallentuna centrala tätort)";"totalt";"män";3949
"Vallentuna (Vallentuna centrala tätort)";"totalt";"kvinnor";4083
"Vallentuna (Vallentuna centrala tätort)";"totalt";"totalt";8032
"Vallentuna (Vallentuna landsbygd)";"totalt";"män";3276
"Vallentuna (Vallentuna landsbygd)";"totalt";"kvinnor";2922
"Vallentuna (Vallentuna landsbygd)";"totalt";"totalt";6198
"Vallentuna (Vallentuna södra tätort)";"totalt";"män";4224
"Vallentuna (Vallentuna södra tätort)";"totalt";"kvinnor";4184
"Vallentuna (Vallentuna södra tätort)";"totalt";"totalt";8408
"Vallentuna (Vallentuna västra tätort)";"totalt";"män";1394
"Vallentuna (Vallentuna västra tätort)";"totalt";"kvinnor";1331
"Vallentuna (Vallentuna västra tätort)";"totalt";"totalt";2725
"Vallentuna (Vallentuna östra tätort)";"totalt";"män";3667
"Vallentuna (Vallentuna östra tätort)";"totalt";"kvinnor";3472
"Vallentuna (Vallentuna östra tätort)";"totalt";"totalt";7139
"Österåker (Berga)";"totalt";"män";2583
"Österåker (Berga)";"totalt";"kvinnor";2690
"Österåker (Berga)";"totalt";"totalt";5273
"Österåker (Brevik-Lervik-Flaxenvik)";"totalt";"män";2996
"Österåker (Brevik-Lervik-Flaxenvik)";"totalt";"kvinnor";2768
"Österåker (Brevik-Lervik-Flaxenvik)";"totalt";"totalt";5764
"Österåker (Hacksta-Centrumområdet)";"totalt";"män";881
"Österåker (Hacksta-Centrumområdet)";"totalt";"kvinnor";887
"Österåker (Hacksta-Centrumområdet)";"totalt";"totalt";1768
"Österåker (Ljusterö-omkringliggande skärgård)";"totalt";"män";1156
"Österåker (Ljusterö-omkringliggande skärgård)";"totalt";"kvinnor";981
"Österåker (Ljusterö-omkringliggande skärgård)";"totalt";"totalt";2137
"Österåker (Margeretelunds centrum)";"totalt";"män";2409
"Österåker (Margeretelunds centrum)";"totalt";"kvinnor";2480
